category,frequency,decade
Clothes and shoes,83,1840
Beauty product,1,1840
Medicine and doctor’s office,156,1840
Books/postcard/portrait/periodicals,30,1840
Barbershop/beauty parlor,7,1840
Farming,49,1840
Construction/manufacturing,3,1840
Home management,102,1840
Employment,62,1840
Printer/binder,2,1840
Hotel/Boarding house,35,1840
Jewelry,NA,1840
Groceries,41,1840
Cleaning,1,1840
Music lessons,NA,1840
Sewing machine,NA,1840
Restaurant/saloon/tavern,NA,1840
Cemetery/funeral,NA,1840
Insurance,NA,1840
Bank/Loan,NA,1840
Real estate,NA,1840
Liquors and cigars,NA,1840
Law office,NA,1840
Photography,NA,1840
Eyeglasses,NA,1840
Private school/training school,NA,1840
Entertainment,NA,1840
Transportation,NA,1840
Guns,NA,1840
Meeting announcements,NA,1840
Department store,NA,1840
Clothes and shoes,31,1860
Beauty product,4,1860
Medicine and doctor’s office,8,1860
Books/postcard/portrait/periodicals,4,1860
Barbershop/beauty parlor,1,1860
Farming,NA,1860
Construction/manufacturing,5,1860
Home management,10,1860
Employment,1,1860
Printer/binder,NA,1860
Hotel/Boarding house,11,1860
Jewelry,3,1860
Groceries,4,1860
Cleaning,1,1860
Music lessons,NA,1860
Sewing machine,4,1860
Restaurant/saloon/tavern,4,1860
Cemetery/funeral,2,1860
Insurance,6,1860
Bank/Loan,1,1860
Real estate,2,1860
Liquors and cigars,4,1860
Law office,2,1860
Photography,3,1860
Eyeglasses,4,1860
Private school/training school,1,1860
Entertainment,NA,1860
Transportation,2,1860
Guns,NA,1860
Meeting announcements,NA,1860
Department stores,NA,1860
Clothes and shoes,NA,1870
Beauty product,NA,1870
Medicine and doctor’s office,NA,1870
Books/postcard/portrait/periodicals,5,1870
Barbershop/beauty parlor,NA,1870
Farming,NA,1870
Construction/manufacturing,NA,1870
Home management,NA,1870
Employment,NA,1870
Printer/binder,7,1870
Hotel/Boarding house,NA,1870
Jewelry,NA,1870
Groceries,NA,1870
Cleaning,NA,1870
Music lessons,NA,1870
Sewing machine,NA,1870
Restaurant/saloon/tavern,NA,1870
Cemetery/funeral,NA,1870
Insurance,NA,1870
Bank/Loan,NA,1870
Real estate,NA,1870
Liquors and cigars,NA,1870
Law office,NA,1870
Photography,NA,1870
Eyeglasses,NA,1870
Private school/training school,NA,1870
Entertainment,2,1870
Transportation,NA,1870
Guns,NA,1870
Meeting announcements,NA,1870
Department stores,NA,1870
Clothes and shoes,9,1880
Beauty product,4,1880
Medicine and doctor’s office,15,1880
Books/postcard/portrait/periodicals,0,1880
Barbershop/beauty parlor,2,1880
Farming,2,1880
Construction/manufacturing,0,1880
Home management,1,1880
Employment,0,1880
Printer/binder/ink,1,1880
Hotel/Boarding house,6,1880
Jewelry,0,1880
Groceries,2,1880
Cleaning,0,1880
Music lessons,0,1880
Sewing machine,0,1880
Restaurant/saloon/tavern,2,1880
Cemetery/funeral,1,1880
Insurance,0,1880
Bank/Loan,0,1880
Real estate,0,1880
Liquors and cigars,0,1880
Law office,0,1880
Photography,4,1880
Eyeglasses,0,1880
Private school/training school,0,1880
Entertainment,9,1880
Transportation,5,1880
Guns,0,1880
Meeting announcements,0,1880
Department store,0,1880
Clothes and shoes,39,1890
Beauty product,7,1890
Medicine and doctor’s office,47,1890
Books/postcard/portrait/periodicals,5,1890
Barbershop/beauty parlor,7,1890
Farming,4,1890
Construction/manufacturing,6,1890
Home management,23,1890
Employment,2,1890
Printer/binder/ink,7,1890
Hotel/Boarding house,6,1890
Jewelry,9,1890
Groceries,41,1890
Cleaning,5,1890
Music lessons,3,1890
Sewing machine,0,1890
Restaurant/saloon/tavern,11,1890
Cemetery/funeral,4,1890
Insurance,2,1890
Bank/Loan,2,1890
Real estate,2,1890
Liquors and cigars,1,1890
Law office,4,1890
Photography,1,1890
Eyeglasses,0,1890
Private school/training school,3,1890
Entertainment,3,1890
Transportation,11,1890
Guns,3,1890
Meeting announcements,2,1890
Department store,6,1890
