city,state,country,first_name,last_name,agent,publication_date
Batavia,New York,USA,W,Johnson,local,12-27-1843
Boston,Massachusetts,USA,J T,Hilton,local,12-27-1843
Brockport,New York,USA,A,Peck,local,12-27-1843
Buffalo,New York,USA,W W,Brown,local,12-27-1843
Buffalo,New York,USA,A H,Francis,local,12-27-1843
Butler,Ohio,USA,J,Yancy,traveling,03-20-1844
Butler,Ohio,USA,S,Jones,traveling,03-20-1844
Champaign,Ohio,USA,D,Lancaster,local,03-20-1844
Chillicothe,Ohio,USA,R W,Chancellor,local,12-27-1843
Chillicothe,Ohio,USA,James,Leach,local,02-14-1844
Cincinnati,Ohio,USA,Rev C,Satchel,traveling,12-27-1843
Cincinnati,Ohio,USA,Rev M M,Clark,traveling,12-27-1843
Cincinnati,Ohio,USA,W W,Watson,local,02-14-1844
Cincinnati,Ohio,USA,A M,Sumner,local,02-14-1844
Cincinnati,Ohio,USA,W M,Yancy,local,02-14-1844
Circleville,Ohio,USA,W,Scott,local,12-27-1843
Circleville,Ohio,USA,H,Glasspy,local,06-26-1844
Circleville,Ohio,USA,G,Stanup,local,06-26-1844
Cleveland,Ohio,USA,J,Malvin,local,12-27-1843
Cleveland,Ohio,USA,J L,Watson,local,12-27-1843
Cleveland,Ohio,USA,R D,Kenney,local,02-14-1844
Columbus,Ohio,USA,Rev W,Shelton,traveling,12-27-1843
Columbus,Ohio,USA,Rev T,Lawrence,traveling,12-27-1843
Crawford,Ohio,USA,A,Allen,local,03-20-1844
Dayton,Ohio,USA,T,Jefferson,local,12-27-1843
Detroit,Michigan,USA,H,Bibb,local,10-16-1844
Detroit,Michigan,USA,R,Banks,local,12-27-1843
Detroit,Michigan,USA,W C,Monroe,local,12-27-1843
Dublin,Ohio,USA,S,White Jr,local,12-27-1843
East Liberty,Ohio,USA,E C,Tyner,traveling,11-13-1844
Gallipolis,Ohio,USA,H,Bell,local,12-27-1843
Gallipolis,Ohio,USA,J,Gee,local,12-27-1843
Geneva,New York,USA,J W,Duffin,local,12-27-1843
Granville,Ohio,USA,T,Walker,local,03-20-1844
Greenfield,Ohio,USA,A J,Scot,local,08-28-1844
Hamilton,Ohio,USA,Rev W C,Yancy,traveling,12-27-1843
Hamilton,Ohio,USA,J,Simpson,local,02-14-1844
Hillsboro,Ohio,USA,J,Tailor,local,12-27-1843
Hillsboro,Ohio,USA,N,Tailor,local,12-27-1843
Indianapolis,Indiana,USA,J G,Bretton,local,12-27-1843
Jackson,Ohio,USA,N,Nukes,local,12-27-1843
Jackson,Ohio,USA,Rev T,Woodson,local,12-27-1843
Lafayette,Indiana,USA,S B,Webster,local,03-20-1844
Lancaster,Ohio,USA,S,Smith,local,02-14-1844
Lancaster,Ohio,USA,N,Smith,local,02-14-1844
