periodical,location,ethnic_periodical,lon,lat,number_of_mentions
New York Independent,"New York, NY",NA,-73.9808,40.7648,1
Cincinnati Enquirer,"Cincinnati, Ohio",NA,-84.5125,39.1015,1
Hobart Mercury,"Hobart, Tasmania",NA,147.3281,-42.8825,1
Boston Journal,"Boston, MA",NA,-71.0596,42.3605,1
New York Sun,"New York, NY",NA,-73.9808,40.7648,3
Chicago Times,"Chicago, IL",NA,-87.6244,41.8756,3
Texas Siftings,"Austin, TX",NA,-97.7437,30.2711,2
Puck,"New York, NY",NA,-73.9808,40.7648,3
Lewistown,"Lewistown, MT",NA,-109.4282,47.0625,1
Philadelphia Call,"Philadelphia, PA",NA,-75.1327,40.0115,1
Boston Transcript,"Boston, MA",NA,-71.0596,42.3605,2
Chicago Herald,"Chicago, IL",NA,-87.6244,41.8756,1
New York Tribune,"Manhattan, NY",NA,-73.9597,40.7903,5
New York Herald,"New York, NY",NA,-73.9808,40.7648,3
Philadelphia Press,"Philadelphia, PA",NA,-75.1327,40.0115,3
Philadelphia North American,"Philadelphia, PA",NA,-75.1327,40.0115,2
St. Louis Republican,"St. Louis, MO",NA,-90.19,38.63,2
Troy Times,"Troy, NY",NA,-73.6918,42.7284,1
Boston Globe,"Boston, MA",NA,-71.0596,42.3605,1
Boston Post,"Boston, MA",NA,-71.0596,42.3605,3
Chicago Tribune,"Chicago, IL",NA,-87.6244,41.8756,3
Whitehall Times,"Whitehall, NY",NA,-73.7988,42.6468,1
Chicago Sun,"Chicago, IL",NA,-87.6244,41.8756,1
N.O. Picayune,"New Orleans, LA",NA,-90.0701,29.9499,1
Norristown,"Norristown, PA",NA,-75.3399,40.1215,1
Brooklyn Eagle,"Brooklyn, NY",NA,-73.9496,40.6501,1
Kentucky State Journal,"Newport, KY",NA,-84.492,39.0889,1
Commercial Gazette,"Cincinnati, Ohio",NA,-84.5125,39.1015,1
Boston Beacon,"Boston, MA",NA,-71.0596,42.3605,1
London Telegraph,"London, England",NA,-0.1275,51.50722,1
Boston Herald,"Boston, MA",NA,-71.0596,42.3605,1
Godey's Lady's Book and Magazine,Philadelphia,NA,-75.1327,40.0115,1
Hunt's Merchant's Magazine,New York City,NA,-73.9808,40.7648,2
Cleveland Herald,"Cleveland, Ohio",NA,-81.6934,41.5052,2
Mansfiled Herald,"Mansfield, Ohio",NA,-82.5154,40.7584,1
Columbus Journal,"Columbus, Ohio",NA,-83.0007,39.9623,1
Hamilton Intelligencer,"Hamilton, Ohio",NA,-84.5613,39.3995,1
Republic,"Springfield, Ohio (Unclear)",NA,-83.8088,39.9242,1
Columbian Magazine,New York City,NA,-73.9808,40.7648,1
Albany Knick,"Albany, New York",NA,-73.755,42.6512,1
Chardon Democrat,"Chardon, Ohio",NA,-81.2033,41.5825,1
Landmen's Adventures,unidenfiable,NA,NA,NA,1
Western Christian Advocate,"Cincinnati, Ohio",NA,-84.512016,39.103119,2
Congregationalist,"Boston, MA",NA,-71.0589,42.3601,1
Victoria,"Oxford, England",NA,-1.264027,51.773175,1
Evangelist,"New York City, New York",NA,-73.9808,40.7648,1
Chamber's Journal,"London, England",NA,-51.509865,0.118092,1
Ed Journal,unidentifiable,NA,NA,NA,1
The Methodist,"New York City, New York",NA,-73.9808,40.7648,1
The Gayworthys,"Boston, MA",NA,-71.0589,42.3601,1
Zion's Herald,"Cincinnati, Ohio",NA,-84.512,39.1031,2
The Nation,"Washington, D.C.",NA,-77.0366,38.895,1
London Daily News,"Longdon, England",NA,-51.509865,0.118092,1
Richmond Examiner,"Richmond, Virginia",NA,-77.436,37.5407,1
Colored Tennessean,"Nashville, Tennessee",yes,--86.7744,36.1622,1
Sword and Trowel,"London, England",NA,-0.12764739999999997,51.507321899999994,1
Religious Herald,"Richmond, Virginia",NA,-77.436,37.5407,1
Dallas Express,"Dallas, Texas",NA,-96.797,32.7767,2
New York Evening Sun,"New York City, New York",NA,-73.9808,40.7648,1
Journal and Messenger,"Cincinnati, Ohio",NA,-84.512,39.1031,4
London Chronicle,"London, England",NA,-0.118092,51.509865,1
