category,frequency
Clothes and shoes,39
Beauty product,7
Medicine and doctor’s office,47
Books/postcard/portrait/periodicals,5
Barbershop/beauty parlor,7
Farming,4
Construction/manufacturing,6
Home management,23
Employment,2
Printer/binder,7
Hotel/Boarding house,6
Jewelry,9
Groceries,41
Cleaning,5
Music lessons,3
Sewing machine,0
Restaurant/saloon/tavern,11
Cemetery/funeral,4
Insurance,2
Bank/Loan,2
Real estate,2
Liquors and cigars,1
Law office,4
Photography,1
Eyeglasses,0
Private school/training school,3
Entertainment,3
Transportation,11
Guns,3
Meeting announcements,2
Department store,6
