Periodical,Location,lon,lat,number of mentions
Globe Quarterly Review,New York New York,-73.9808,40.7648,1
Exchange,Baltimore Maryland,-76.6108,39.2909,1
Statesman,Denver Colorado,-104.9903,39.7392,1
Detroit Free Press,Detroit Michigan,-77.0276,38.9003,3
Truth			
St. Louis Republic,St. Louis Missouri,-90.1994,38.627,1
Judge,New York NY,-73.9808,40.7648,3
Chicago Daily News,Chicago Illinois,-87.6298,41.8781,8
Industrial News,Jackson Michigan,-84.4013,42.2459,1
Pittsburgh Chronicle,Pittsburgh Pennsylvania,-79.9959,40.4406,1
Washington Democrat,Olympia Washington,-122.9007,47.0379,5
Puck,New York New York,-73.9808,40.7648,2
Pearson's Weekly,London England,-0.118092,51.509865,1
Chicago Record,Chicago Illinois,-87.6298,41.8781,3
Philadelphia Public Ledger,Philadelphia Pennsylvania,-75.1652,39.9526,1
Ohio Farmer,Cleveland Ohio,-81.6944,41.4993,1
Brotherhood,Dallas Texas,-96.797,32.7767,1
Charleston Equirer,Charleston SC,-79.9311,32.7765,1
New York Journal,New York New York,-73.9808,40.7648,1
London Spare Moments,London England,-0.118092,51.509865,1
New York Tribune,New York New York,-73.9808,40.7648,1
Youth's Companion,Boston Massachusetts,-71.0589,42.3601,1
Yonkers Statesman,Yonkers New York,-73.8987,40.9312,2
Stray Stories				
L.A. W. Bulletin,Cincinatti Ohio,-84.512,39.1031,2
Kansas City Journal,Kansas City Missouri,-94.5786,39.0997,1
Kansas City Star,Kansas City Missouri,-94.5786,39.0997,1
Singapore Free Press,Singapore,103.98226,1.38986,1
Detroit Journal,Detroit Michigan,-77.0276,38.9003,2
Philadelphia Press,Philadelphia Pennsylvania,-75.1652,39.9526,2
Atchison Globe,Atchison Kansas,-95.1216,39.5631,1
Metropolitan,Chicago Illinois,-87.6298,41.8781,1
Dallas Express,Dallas Texas,-96.797,32.7767,2
New York Evening Sun,New York New York,-73.9808,40.7648,1
Journal and Messenger,Cincinnati Ohio,-84.512,39.1031,4
London Chronicle,London England,-0.118092,51.509865,1
Saturday Evening Post,Philadelphia Pennsylvania,-75.1327,40.0115,1
Atlanta Journal,Atlanta Georgia,-84.388,33.749,1
Harper’s Bazar,New York New York,-73.9808,40.7648,1
Boston Courier,Boston Massachusetts,-71.0589,42.3601,2
St. Louis Post Dispatch,St. Louis Missouri,-90.1994,38.627,1
London Tit-Bits,London England,-0.118092,51.509865,1
Cleveland Plain Dealer,Cleveland Ohio,-81.6934,41.5052,1
New York Press,New York New York,-73.9808,40.7648,1
Philadelphia Record,Philadelphia Pennsylvania,-75.1327,40.0115,3
Atchinson Daily Globe,Atchinson Kansas,-95.1213,39.5634,1
The Daily Mail,London England,-0.118092,51.509865,1
Biloxi Gazette,Biloxi Mississippi,-88.8853,30.396,1
Informer,Detroit Michigan,-83.0458,42.3314,1
Boston Post,Boston Massachusetts,-71.0589,42.3601,1
Atlanta Constitution,Atlanta Georgia,-84.388,33.749,1
Philadelphia North American,Philadelphia Pennsylvania,-75.1327,40.0115,1
Chicago Times-Herald,Chicago Illinois,-87.6298,41.8781,2
Washington Post,Washington D.C.,-77.0369,38.9072,1
Indianapolis Journal,Indianapolis Indiana,-86.1581,39.7684,1
Chicago Dispatch,Chicago Illinois,-87.6298,41.8781,2
New York Post,New York New York,-73.9808,40.7648,1
Chambers' Journal,London England,-0.118092,51.509865,1
Scientific American,New York New York,-73.9808,40.7648,1
Collier's Weekly,Cambridge Massachusetts,-71.1097,42.3736,1
Chicago Chronicle,Chicago Illinois,-87.6298,41.8781,1
Syracuse Herald,Syracuse New York,-76.1474,43.0481,1
N.O. Times-Democrat,New Orleans Louisiana,-90.0715,29.9511,1
The Religious Telescope,Dayton Ohio,-84.1916,39.7589,1
Philadelphia Editor,Philadelphia Pennsylvania,-75.1652,39.9526,1
The Christian Banner,Philadelphia Pennsylvania,-75.1652,39.9526,1
Columbus Daily Press,Columbus Ohio,-82.9988,39.9612,1
Green County Press,Jamestown Ohio,-83.7349,39.6581,1
Washington D.C. Bee,Washington D.C.,-77.0369,38.9072,1
Denver Statesman,Denver Colorado,-104.9903,39.7392,1
San Antonio Advance,San Antonio Texas,-98.4936,29.4241,1
Kansas City Observer,Kansas City Missouri,-94.6268,39.1155,1
Atchison Blade,Atchison Kansas,-95.1216,39.5631,1
Mobile Press,Mobile Alabama,-88.0399,30.6954,1
Philadelphia Tribune,Philadelphia Pennsylvania,-75.1327,40.0115,1
Indianapolis Freeman,Indianapolis Indiana,-86.1581,39.7684,1
Savannah Tribune,Savannah Georgia,-81.0912,32.0809,1
New York Herald,New York New York,-73.9808,40.7648,2
Western Christian Advocate,Cincinnati Ohio,-84.512016,39.103119,2
New York Sun,New York New York,-73.9808,40.7648,1
Milwaukee Sentinel,Milwaukee WI,-87.9735,43.0115,1
Yenowines News,Milwaukee WI,-87.9735,43.0115,1
San Francisco Wasp,San Francisco CA,-122.463,37.7648,1
Chicago Tribune,Chicago IL,-87.6244,41.8756,1
New York Weekly,New York NY,-73.9808,40.7648,1
Chatter,New York NY,-73.9808,40.7648,1
Boston Transcript,Boston MA,-71.0596,42.3605,1
West Shore,Portland OR,-122.6742,45.5202,1
Texas Siftings,Austin TX,-97.7437,30.2711,1
Leeds Mercury	Leeds,West Yorkshire England,-1.54917,53.79972,1
Baltimore American,Baltimore MD,-76.6108,39.2909,1
Binghamton Leader,Binghamton NY,-75.9143,42.097,1
Evening Herald,Trenton TN,-88.9415,35.9806,1
