Periodical,Location,lon,lat,frequency
N.Y. Tribune,New York New York,-73.9808,40.7648,1
The Chicago Tribune,Chicago Illinois,-87.6298,41.8781,1
Congregationalist,Boston Massachusetts,-71.0589,42.3601,1
Victoria,Oxford England,-51.752,1.2577,1
Evangelist,New York New York,-73.9808,40.7648,1
Chamber's Journal,London England,-51.509865,0.118092,1
Ed Journal	
The Methodist,New York New York,-73.9808,40.7648,1
The Gayworthys,Boston Massachusetts,-71.0589,42.3601,1
Zion's Herald,Cincinatti Ohio,-84.512,39.1031,2
The Nation,Washington D.C.,-77.0366,38.895,1
London Daily News,Longdon England,-51.509865,0.118092,1
Richmond Examiner,Richmond Virginia,-77.436,37.5407,1
Colored Tennessean,Nashville Tennessee,-86.7816,-36.1627,1
Sword and Trowel,London England,-51.509865,0.118092,1
Religious Herald,Richmond Virginia,-77.436,37.5407,1
